,Date,Total Confirmed,Total Deaths,New Confirmed,New Deaths,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Total Vaccinations,New People Vaccinated,New People Fully Vaccinated
750,9/24/21,231694481,4739174,550237.0,8725.0,5261169773.0,1874790335.0,1186715904.0,25605955.0,11226160.0,9898118.0
751,9/25/20,32626881,1038561,330593.0,6018.0,0.0,0.0,0.0,0.0,0.0,0.0
752,9/25/21,232072175,4744608,377694.0,5434.0,5395366027.0,1948717042.0,1239163093.0,15954111.0,5766210.0,6496668.0
753,9/26/20,32910924,1044003,284043.0,5442.0,0.0,0.0,0.0,0.0,0.0,0.0
754,9/26/21,232429486,4750041,357311.0,5433.0,5609733354.0,2046606374.0,1352189814.0,13463994.0,5648400.0,5004089.0
755,9/27/20,33158565,1047854,247641.0,3851.0,0.0,0.0,0.0,0.0,0.0,0.0
756,9/27/21,232904846,4757792,475360.0,7751.0,5843787934.0,2198447523.0,1436430419.0,27996487.0,12894861.0,10809007.0
757,9/28/20,33421991,1051935,263426.0,4081.0,0.0,0.0,0.0,0.0,0.0,0.0
758,9/28/21,233359420,4767214,454574.0,9422.0,5755645017.0,2115214212.0,2445718448.0,22319048.0,8955661.0,8616339.0
759,9/29/20,33704108,1058041,282117.0,6106.0,0.0,0.0,0.0,0.0,0.0,0.0
760,9/29/21,233850060,4776483,490640.0,9269.0,5583069138.0,2021677687.0,1333878011.0,29143949.0,15411817.0,9494993.0
761,9/3/20,26366717,914740,285665.0,6104.0,0.0,0.0,0.0,0.0,0.0,0.0
762,9/3/21,220398251,4555120,714618.0,10718.0,4838323590.0,1710858944.0,1042633498.0,25997679.0,9433031.0,8625947.0
763,9/30/20,34029099,1064503,324991.0,6462.0,0.0,0.0,0.0,0.0,0.0,0.0
764,9/30/21,234339218,4785316,489158.0,8833.0,5721414359.0,2128070559.0,1384120969.0,23131447.0,8864293.0,9111837.0
765,9/4/20,26667941,920611,301224.0,5871.0,0.0,0.0,0.0,0.0,0.0,0.0
766,9/4/21,220893641,4562841,495390.0,7721.0,4900656495.0,1744829920.0,1056408854.0,20286346.0,5789305.0,6457497.0
767,9/5/20,26940706,925731,272765.0,5120.0,0.0,0.0,0.0,0.0,0.0,0.0
768,9/5/21,221335991,4569298,442350.0,6457.0,5081056997.0,1845769600.0,1140880742.0,20130018.0,7468608.0,5622431.0
769,9/6/20,27170287,929853,229581.0,4122.0,0.0,0.0,0.0,0.0,0.0,0.0
770,9/6/21,221784042,4577333,448051.0,8035.0,5194211417.0,2990158614.0,2153829527.0,20953624.0,8174275.0,6987784.0
771,9/7/20,27388877,939463,218590.0,9610.0,0.0,0.0,0.0,0.0,0.0,0.0
772,9/7/21,222485686,4587815,701644.0,10482.0,5161855150.0,1896109085.0,1167489064.0,34442734.0,16563131.0,11466622.0
773,9/8/20,27634822,944600,245945.0,5137.0,0.0,0.0,0.0,0.0,0.0,0.0
774,9/8/21,223115233,4597868,629547.0,10053.0,5164257597.0,1861560166.0,1167651487.0,33931731.0,14469449.0,13195556.0
775,9/9/20,27919832,950858,285010.0,6258.0,0.0,0.0,0.0,0.0,0.0,0.0
776,9/9/21,223762432,4608696,647199.0,10828.0,5331948726.0,1991846260.0,1242551651.0,32675861.0,14759899.0,11862154.0
